stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject,side
26,50.38965099999996,1.1326311670769962,0.0756761068,1.399944000000005,0.5749769999999899,0.8249670000000151,0.589285714285723,51.21461799999997,51.78959499999996,6146,6215,True,True,1P,S1,right
27,51.78959499999996,1.444483025010155,0.0807823188,2.79988800000001,0.6166419999999562,2.1832460000000538,0.7797619047619212,53.97284100000002,54.58948299999997,6477,6551,True,True,1P,S1,right
28,54.58948299999997,1.4637069083507774,0.0857050674,1.3249470000000656,0.5499780000000101,0.7749690000000555,0.5849056603773715,55.36445200000003,55.91443000000004,6644,6710,False,False,1P,S1,right
29,55.91443000000004,1.453285210688074,0.079312835,1.4082769999999982,0.5333120000000235,0.8749649999999747,0.6213017751479119,56.78939500000001,57.32270700000004,6815,6879,False,False,1P,S1,right
30,57.32270700000004,1.2797143093975307,0.0815509166,1.4416089999999713,0.6333080000001701,0.8083009999998012,0.5606936416183704,58.13100799999984,58.76431600000001,6976,7052,True,True,1P,S1,right
31,58.76431600000001,1.5251399926579787,0.0782827427,2.749889999999823,0.5499779999997827,2.1999120000000403,0.8000000000000661,60.96422800000005,61.51420599999983,7316,7382,True,True,1P,S1,right
32,61.51420599999983,1.476825122949693,0.0820353736,1.341613000000052,0.5666439999999966,0.7749690000000555,0.577639751552814,62.28917499999989,62.85581899999988,7475,7543,False,False,1P,S1,right
33,62.85581899999988,1.4165406004775845,0.0825380311,1.3499460000000454,0.5666439999999966,0.7833020000000488,0.5802469135802636,63.63912099999993,64.20576499999993,7637,7705,False,False,1P,S1,right
34,64.20576499999993,1.1398725542315833,0.0758087416,1.3832780000000184,0.5416450000000168,0.8416330000000016,0.6084337349397521,65.04739799999993,65.58904299999995,7806,7871,True,True,1P,S1,right
35,65.58904299999995,1.3737870393915752,0.0792962609,2.6248950000001514,0.5916430000002038,2.033251999999948,0.77460317460311,67.6222949999999,68.2139380000001,8115,8186,True,True,1P,S1,right
36,68.2139380000001,1.4553116367811612,0.0843751137,1.399944000000005,0.6333080000001701,0.7666359999998349,0.5476190476189278,68.98057399999993,69.6138820000001,8278,8354,False,False,1P,S1,right
