,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
217,10.0953,0.4886,0.0978,-0.0096,-0.0203,0.0053
218,10.0588,0.4882,0.1098,-0.0032,-0.0182,0.0032
219,10.0709,0.5249,0.0609,-0.0086,-0.0225,0.0064
220,10.0835,0.4882,0.0366,-0.0064,-0.0214,0.0096
221,10.0833,0.464,0.0365,-0.0075,-0.0192,0.0107
222,10.0711,0.5004,0.0366,-0.0032,-0.0107,0.0107
223,10.0833,0.4517,0.0368,-0.0032,-0.0117,0.0096
224,10.059,0.4395,0.0243,-0.0011,-0.0053,0.0086
225,10.0833,0.4761,0.0488,0.0,0.0011,0.0075
226,10.0832,0.4882,0.0609,0.0,-0.0011,0.0096
227,10.0834,0.4395,0.0366,-0.0011,-0.0032,0.0096
228,10.0709,0.4273,0.0122,-0.0064,-0.0021,0.0107
229,10.0955,0.4394,0.0609,-0.0064,0.0,0.0096
230,10.0955,0.4394,0.0245,-0.0011,0.0043,0.0107
231,10.0711,0.4394,0.0123,-0.0011,0.0054,0.0107
232,10.0833,0.4029,0.0367,0.0,0.0117,0.0085
233,10.0833,0.4394,0.0976,0.0,0.0053,0.0096
234,10.0589,0.4028,0.061,0.0032,0.0107,0.0085
235,10.0711,0.3907,0.0611,0.0032,0.0086,0.0075
236,10.0467,0.4272,0.0488,0.0053,0.0107,0.0064
237,10.0833,0.415,0.0488,0.0053,0.0128,0.0064
238,10.1077,0.4028,0.061,0.0096,0.0171,0.0053
239,10.0833,0.415,0.0732,0.0075,0.0171,0.0053
240,10.0467,0.4151,0.0977,0.0064,0.0118,0.0096
241,10.1077,0.4028,0.0733,0.0011,0.0053,0.0096
242,10.0711,0.3906,0.0977,0.0075,0.0043,0.0085
243,10.0833,0.3906,0.0977,0.0053,0.0064,0.0043
244,10.0833,0.3662,0.1099,0.0064,0.0075,0.0043
245,10.0833,0.3906,0.1221,0.0053,0.0032,0.0021
246,10.0711,0.3662,0.1099,0.0064,0.0064,0.0
247,10.0833,0.3783,0.0977,0.0064,0.0043,-0.0
248,10.0955,0.3906,0.0977,0.0,0.0043,-0.0021
249,10.0711,0.3784,0.1099,-0.0021,0.0,-0.0032
250,10.1076,0.3541,0.1098,-0.0011,0.0021,-0.0043
251,10.0589,0.3905,0.1341,0.0032,0.0053,-0.0096
252,10.071,0.3785,0.1101,0.0032,0.0032,-0.0064
253,10.0833,0.4028,0.11,0.0,0.0032,-0.0085
254,10.059,0.4149,0.0977,-0.0053,0.0096,-0.0096
255,10.0833,0.3905,0.1342,0.0011,0.0043,-0.0054
256,10.0712,0.3783,0.1708,-0.0032,-0.0032,-0.0096
